cache_interval,layer_depth,time_seconds,time_minutes
1,1,363,6.05
1,2,378,6.30
1,3,375,6.25
1,4,376,6.26
1,5,377,6.28
1,6,381,6.35
1,7,376,6.26
1,8,378,6.30
1,9,378,6.30
1,10,377,6.28
1,11,376,6.26
1,12,376,6.26
1,13,376,6.26
1,14,376,6.26
1,15,375,6.25
2,1,264,4.40
2,2,272,4.53
2,3,271,4.51
2,4,281,4.68
2,5,287,4.78
2,6,294,4.90
2,7,297,4.95
2,8,302,5.03
2,9,305,5.08
2,10,306,5.10
2,11,308,5.13
2,12,308,5.13
2,13,306,5.10
2,14,308,5.13
2,15,307,5.11
3,1,225,3.75
3,2,230,3.83
3,3,238,3.96
3,4,248,4.13
3,5,257,4.28
3,6,264,4.40
3,7,270,4.50
3,8,276,4.60
3,9,278,4.63
3,10,281,4.68
3,11,283,4.71
3,12,282,4.70
3,13,284,4.73
3,14,285,4.75
3,15,286,4.76
4,1,207,3.45
4,2,212,3.53
4,3,220,3.66
4,4,232,3.86
4,5,241,4.01
4,6,252,4.20
4,7,259,4.31
4,8,261,4.35
4,9,263,4.38
4,10,271,4.51
4,11,268,4.46
4,12,270,4.50
4,13,275,4.58
4,14,270,4.50
4,15,274,4.56
5,1,195,3.25
5,2,200,3.33
5,3,205,3.41
5,4,216,3.60
5,5,226,3.76
5,6,232,3.86
5,7,240,4.00
5,8,245,4.08
5,9,249,4.15
5,10,251,4.18
5,11,254,4.23
5,12,260,4.33
5,13,256,4.26
5,14,257,4.28
5,15,257,4.28
