start_gradient,guidance_scale,run_num,condition_accuracy
0,0.0,0,0.10000000149011612
0,0.0,1,0.10000000149011612
0,0.0,2,0.10000000149011612
0,0.0,3,0.20000000298023224
0,0.0,4,0.10000000149011612
0,0.1,0,0.13333334028720856
0,0.1,1,0.13333334028720856
0,0.1,2,0.23333333432674408
0,0.1,3,0.2666666805744171
0,0.1,4,0.06666667014360428
0,1.0,0,0.3333333432674408
0,1.0,1,0.3333333432674408
0,1.0,2,0.30000001192092896
0,1.0,3,0.5666666626930237
0,1.0,4,0.5
0,2.0,0,0.36666667461395264
0,2.0,1,0.5
0,2.0,2,0.3333333432674408
0,2.0,3,0.5666666626930237
0,2.0,4,0.30000001192092896
0,5.0,0,0.3333333432674408
0,5.0,1,0.2666666805744171
0,5.0,2,0.30000001192092896
0,5.0,3,0.3333333432674408
0,5.0,4,0.30000001192092896
0,10.0,0,0.13333334028720856
0,10.0,1,0.06666667014360428
0,10.0,2,0.23333333432674408
0,10.0,3,0.1666666716337204
0,10.0,4,0.13333334028720856
5,0.0,0,0.10000000149011612
5,0.0,1,0.10000000149011612
5,0.0,2,0.10000000149011612
5,0.0,3,0.20000000298023224
5,0.0,4,0.10000000149011612
5,0.1,0,0.13333334028720856
5,0.1,1,0.10000000149011612
5,0.1,2,0.23333333432674408
5,0.1,3,0.2666666805744171
5,0.1,4,0.06666667014360428
5,1.0,0,0.3333333432674408
5,1.0,1,0.36666667461395264
5,1.0,2,0.23333333432674408
5,1.0,3,0.4000000059604645
5,1.0,4,0.3333333432674408
5,2.0,0,0.30000001192092896
5,2.0,1,0.36666667461395264
5,2.0,2,0.4000000059604645
5,2.0,3,0.36666667461395264
5,2.0,4,0.36666667461395264
5,5.0,0,0.3333333432674408
5,5.0,1,0.10000000149011612
5,5.0,2,0.13333334028720856
5,5.0,3,0.30000001192092896
5,5.0,4,0.23333333432674408
5,10.0,0,0.13333334028720856
5,10.0,1,0.03333333507180214
5,10.0,2,0.1666666716337204
5,10.0,3,0.10000000149011612
5,10.0,4,0.10000000149011612
